publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Background Notes on Countries of the World: Republic of Poland			2004-05-01			2012-03-22			https://search.ebscohost.com/direct.asp?db=f5h&jid=Z4F&scope=site		Z4F		fulltext		Superintendent of Documents					MasterFILE Premier	EBSCOhost.f5h	552631	ebscoh	224604118	raw
First Inaugural Address			2017			2017			https://search.ebscohost.com/direct.asp?db=f5h&jid=26G2&scope=site		26G2		ebook		Great Neck Publishing					MasterFILE Premier	EBSCOhost.f5h	4633732	ebscoh		raw
Diana, Princess of Wales		9781438153216	2017			2017			https://search.ebscohost.com/direct.asp?db=f5h&jid=TKH&scope=site		TKH		ebook		Great Neck Publishing					MasterFILE Premier	EBSCOhost.f5h	72.1580241735020978	ebscoh	889214819	raw
Genetic Engineering	9780737711240		2002			2002			https://link.gale.com/apps/pub/0MBD/OVIC		0MBD		ebook		Greenhaven Press					Gale In Context: Opposing Viewpoints	galegroup.sb5999	701635c0-ed23-4e78-88cb-880a40de931b-emi	gale.ourl	681381570	raw
How Can Domestic Violence Be Prevented?	9780737723786		2006			2006			https://link.gale.com/apps/pub/5KJC/OVIC		5KJC		ebook		Greenhaven Press					Gale In Context: Opposing Viewpoints	galegroup.sb5999	474ceb6d-6724-4beb-ab51-9cf515586059-emi	gale.ourl	761333962	raw
Alcohol	9780737737332		2008			2008			https://link.gale.com/apps/pub/2LGK/OVIC		2LGK		ebook		Greenhaven Press					Gale In Context: Opposing Viewpoints	galegroup.sb5999	7c99ffe4-df02-48e0-8fe1-a0f2fd3e4593-emi	gale.ourl	903504032	raw
US Deficit, The	9780737760507		2013			2013			https://link.gale.com/apps/pub/5WVI/OVIC		5WVI		ebook		Greenhaven Press					Gale In Context: Opposing Viewpoints	galegroup.sb5999	a0b4da2c-2b1b-43f9-896f-145b11569806-emi	gale.ourl	930684636	raw
Journal of Computational Engineering	2356-7260	2314-6443	2016-01-01			2017-01-01			https://link.gale.com/apps/pub/13PS/AONE		13PS		fulltext		Hindawi Limited					Gale Academic OneFile	galegroup.aone	37978326	gale.ourl	862972271	raw
Utopian Studies	1045-991X	2154-9648	1997-01			2012-07			https://link.gale.com/apps/pub/0FOD/AONE		0FOD		fulltext		Pennsylvania State University Press					Gale Academic OneFile	galegroup.aone	3426095	gale.ourl	60618122	raw
Cinema Journal	0009-7101		1998-09			2018-06			https://link.gale.com/apps/pub/5PDE/AONE		5PDE		fulltext		University of Texas at Austin (University of Texas Press)					Gale Academic OneFile	galegroup.aone	3415266	gale.ourl	316299771	raw
Particles	2571-712X		2020-03			2020-06			https://link.gale.com/apps/pub/00Q2/AONE		00Q2		fulltext		MDPI AG					Gale Academic OneFile	galegroup.aone	64047060	gale.ourl	1113163736	raw
UNLV Gaming Research and Review Journal	1535-7589		2009-10			2018-03			https://link.gale.com/apps/pub/2UCT/AONE		2UCT		fulltext		UNLV Gaming Research & Review Journal					Gale Academic OneFile	galegroup.aone	8991685	gale.ourl	1027922255	raw
BMC Women's Health	1472-6874		2006-12-01						https://link.gale.com/apps/pub/5QBI/AONE		5QBI		fulltext		BioMed Central Ltd.					Gale Academic OneFile	galegroup.aone	3414479	gale.ourl	47666363	raw
Revista de Humanidades	1405-4167		2006-03			2008-03			https://link.gale.com/apps/pub/5KUV/AONE		5KUV		fulltext		Instituto Tecnologico y de Estudios Superiores de Monterrey					Gale Academic OneFile	galegroup.aone	3424556	gale.ourl	85448638	raw
South African Journal of Physiotherapy	0379-6175		2013						https://link.gale.com/apps/pub/8XHW/AONE		8XHW		fulltext		African Online Scientific Information Systems (Pty) Ltd t/a AOSIS					Gale Academic OneFile	galegroup.aone	25214982	gale.ourl	1013762833	raw
BMC Sports Science, Medicine and Rehabilitation	2052-1847		2014-01-01						https://link.gale.com/apps/pub/6LRO/AONE		6LRO		fulltext		BioMed Central Ltd.					Gale Academic OneFile	galegroup.aone	39507925	gale.ourl	840683083	raw
Pennsylvania Legacies	1544-6360		2009-11			2015-12			https://link.gale.com/apps/pub/8MMT/AONE		8MMT		fulltext		Historical Society of Pennsylvania					Gale Academic OneFile	galegroup.aone	20178591	gale.ourl	123906257	raw
International Journal of Energy and Environment	2076-2895	2076-2909	2014-01						https://link.gale.com/apps/pub/8TKZ/AONE		8TKZ		fulltext		International Energy and Environment Foundation					Gale Academic OneFile	galegroup.aone	21695816	gale.ourl	653458015	raw
International Journal of Nephrology and Renovascular Disease	1178-7058		2008-01-01						https://link.gale.com/apps/pub/5UCM/AONE		5UCM		fulltext		Dove Medical Press Limited					Gale Academic OneFile	galegroup.aone	19265262	gale.ourl	319595337	raw
Uber and Lyft Battle for Ride-Share Market Dominance									https://link.gale.com/apps/pub/9HPU/AONE		9HPU		video		BBC Studios Americas Inc.					Gale Academic OneFile	galegroup.aone	26339685	gale.ourl		raw
Gay and Lesbian Review Worldwide, The	1532-1118		2000-01						https://link.gale.com/apps/pub/0KBV/AONE		0KBV		fulltext		The Gay & Lesbian Review Worldwide					Gale Academic OneFile	galegroup.aone	3417700	gale.ourl	60639600	raw
Review of Business	0034-6454		1989-03			1998-12			https://link.gale.com/apps/pub/4375/AONE		4375		fulltext		St. John's University, College of Business Administration					Gale Academic OneFile	galegroup.aone	3424443	gale.ourl	60619115	raw
Nature Reviews Urology	1759-4812	1759-4820	2009-04						https://link.gale.com/apps/pub/2UZJ/AONE		2UZJ	P365D	fulltext		Nature Publishing Group					Gale Academic OneFile	galegroup.aone	3422642	gale.ourl	318124628	raw
